Ticker,Alpha_total_comp_%,Beta,t(Alpha),t(Beta),R2,N
AAPL,-20.41,1.191,-0.76,11.38,49.3,572
AIQ,6.55,1.323,0.5,42.64,85.3,572
AMD,-24.44,2.053,-0.51,17.72,41.4,572
AMZN,27.14,1.409,0.78,19.65,49.5,572
ARKQ,2.92,1.572,0.12,23.8,69.5,572
AVGO,118.97,2.003,1.34,14.94,40.9,572
BOTZ,-24.25,1.333,-1.55,30.46,74.9,572
GOOGL,11.83,1.124,0.31,14.07,35.1,572
IRBO,-23.25,1.444,-1.37,30.32,74.2,572
META,89.69,1.508,1.58,18.67,43.4,572
MSFT,16.06,1.041,0.61,15.55,48.9,572
NVDA,181.28,2.182,1.79,12.55,42.7,572
ROBO,-31.36,1.19,-2.35,38.52,75.8,572
TSLA,-34.45,2.325,-0.54,16.02,34.5,572
TSM,45.22,1.582,0.95,15.38,39.9,572
